search_term,impressions,clicks,conversions,ctr,conversion_rate
student housing checklist,7547,2439,76,0.323,0.031
manchester student homes,3612,2372,11,0.657,0.005
reserve student studio flat,15531,2164,72,0.139,0.033
student accommodation in London,12030,1683,82,0.14,0.049
shared student rooms,7717,60,238,0.008,3.967
student housing in Birmingham,3993,2955,181,0.74,0.061
student flatshare available now,14183,116,11,0.008,0.095
student housing near Reading,12446,662,158,0.053,0.239
student housing near Southampton,11511,494,280,0.043,0.567
student accommodation with bills included,12716,564,228,0.044,0.404
en-suite student room booking,7753,2104,137,0.271,0.065
student.com manchester,6731,1733,128,0.257,0.074
student accommodation tips,8783,2047,224,0.233,0.109
book now student housing,19641,2563,243,0.13,0.095
student halls with gym,4655,3288,210,0.706,0.064
unite students login,18036,2018,31,0.112,0.015
student housing Glasgow city centre,12949,3011,270,0.233,0.09
student accommodation reviews,15281,429,226,0.028,0.527
rent for students,1082,2802,67,2.59,0.024
student studio in Bristol,6252,1584,135,0.253,0.085
off-campus housing,13891,1932,111,0.139,0.057
what is student housing,17320,3101,4,0.179,0.001
apply for university accommodation,19951,1933,165,0.097,0.085
student flat near Coventry Uni,10794,1913,78,0.177,0.041
sheffield halls of residence,16536,176,79,0.011,0.449
crm students portal,5863,1407,237,0.24,0.168
amber student reviews,3315,2107,225,0.636,0.107
ucl student housing,16942,894,142,0.053,0.159
nottingham student accommodation,1716,1447,74,0.843,0.051
guide to student halls,14474,1984,33,0.137,0.017
student housing,8557,1339,2,0.156,0.001
affordable student accommodation Liverpool,10603,2305,197,0.217,0.085
cost of student rent in UK,5599,2193,102,0.392,0.047
student flats,2969,1405,159,0.473,0.113
student moving guide,1976,3171,276,1.605,0.087
rent student flat near me,19940,980,10,0.049,0.01
student housing last minute deals,6365,1713,297,0.269,0.173
accommodation for university of leeds,13069,1207,262,0.092,0.217
modern student accommodation,3977,209,36,0.053,0.172
how to find student accommodation,4713,3037,250,0.644,0.082
cheap student housing,11037,2146,155,0.194,0.072
book student accommodation,13536,459,63,0.034,0.137
student room near King's College,5434,1143,49,0.21,0.043
student roost birmingham,1040,3135,198,3.014,0.063
student tenancy agreement explained,8864,3062,194,0.345,0.063
student halls in Leeds,9835,1033,121,0.105,0.117
student accommodation,9912,817,262,0.082,0.321
student housing near UCL,15021,2962,62,0.197,0.021
student housing near York,11478,2744,254,0.239,0.093
how to apply for university housing,17797,773,279,0.043,0.361
difference between studio and ensuite,19922,3131,277,0.157,0.088
university accommodation,15761,2231,106,0.142,0.048
hello student housing,9542,591,146,0.062,0.247
student housing near Brighton,2510,409,157,0.163,0.384
nottingham trent accommodation,19485,2575,77,0.132,0.03
student rent vs bills,15715,2973,109,0.189,0.037
student apartments,11403,1131,88,0.099,0.078
student halls,3133,2574,149,0.822,0.058
pay student rent online,14664,3327,86,0.227,0.026
student crowd accommodation,3334,1208,210,0.362,0.174
student bedsit,1333,2939,197,2.205,0.067
university flats in Manchester,9094,3104,99,0.341,0.032
private student housing,8799,670,17,0.076,0.025
student housing near Leicester,939,3291,218,3.505,0.066
